Year,Site,Plot,SFA_Location,Treatment,Elevation,DOY.sf,GCC75,GCC75.end,GCC.LOS
2018,ALP,A1,XX-ALA1,control,3635,158,176,210,34
2018,ALP,B1,XX-ALB1,control,3632,160,182,215,33
2018,ALP,C1,XX-ALC1,control,3628,162,176,209,33
2019,ALP,A1,XX-ALA1,control,3635,208,222,252,30
2019,ALP,B1,XX-ALB1,control,3632,212,224,260,36
2019,ALP,C1,XX-ALC1,control,3628,214,220,250,30
2020,ALP,A1,XX-ALA1,control,3635,170,180,222,42
2020,ALP,B1,XX-ALB1,control,3632,171,183,223,40
2020,ALP,C1,XX-ALC1,control,3628,174,183,223,40
2018,LM,A1,ER-LMA1,early,2778,103,149,191,42
2018,LM,A2,ER-LMA2,control,2779,112,154,190,36
2018,LM,B1,ER-LMB1,control,2775,113,162,214,52
2018,LM,B2,ER-LMB2,early,2775,103,162,210,48
2018,LM,C1,ER-LMC1,early,2774,103,160,204,44
2018,LM,C2,ER-LMC2,control,2774,112,165,210,45
2019,LM,A1,ER-LMA1,early,2778,114,168,215,47
2019,LM,A2,ER-LMA2,control,2779,136,170,226,56
2019,LM,B1,ER-LMB1,control,2775,137,166,228,62
2019,LM,B2,ER-LMB2,early,2775,114,164,212,48
2019,LM,C1,ER-LMC1,early,2774,116,166,224,58
2019,LM,C2,ER-LMC2,control,2774,137,166,232,66
2020,LM,A1,ER-LMA1,control,2778,122,161,199,38
2020,LM,A2,ER-LMA2,control,2779,122,,,
2020,LM,B1,ER-LMB1,control,2775,124,160,208,48
2020,LM,B2,ER-LMB2,control,2775,122,164,214,50
2020,LM,C1,ER-LMC1,control,2774,125,164,215,51
2020,LM,C2,ER-LMC2,control,2774,122,165,215,50
2018,LSA,A1,WG-LSA1,control,3119,133,156,202,46
2018,LSA,A2,WG-LSA2,early,3119,125,146,202,56
2018,LSA,B1,WG-LSB1,control,3119,133,156,202,46
2018,LSA,B2,WG-LSB2,early,3118,125,150,200,50
2018,LSA,C1,WG-LSC1,control,3114,133,154,202,48
2018,LSA,C2,WG-LSC2,early,3114,125,150,198,48
2019,LSA,A1,WG-LSA1,control,3119,169,184,228,44
2019,LSA,A2,WG-LSA2,early,3119,156,172,224,52
2019,LSA,B1,WG-LSB1,control,3119,169,185,228,43
2019,LSA,B2,WG-LSB2,early,3118,156,173,224,51
2019,LSA,C1,WG-LSC1,control,3114,169,184,232,48
2019,LSA,C2,WG-LSC2,early,3114,156,172,224,52
2020,LSA,A1,WG-LSA1,control,3119,142,168,212,44
2020,LSA,A2,WG-LSA2,control,3119,142,168,212,44
2020,LSA,B1,WG-LSB1,control,3119,142,168,210,42
2020,LSA,B2,WG-LSB2,control,3118,142,170,210,40
2020,LSA,C1,WG-LSC1,control,3114,142,172,218,46
2020,LSA,C2,WG-LSC2,control,3114,142,170,212,42
2018,UM,A1,WG-UMA1,early,2948,117,152,205,53
2018,UM,A2,WG-UMA2,control,2947,124,160,206,46
2018,UM,B1,WG-UMB1,early,2947,117,160,207,47
2018,UM,B2,WG-UMB2,control,2946,124,153,198,45
2018,UM,C1,WG-UMC1,early,2943,117,152,201,49
2018,UM,C2,WG-UMC2,control,2943,125,158,196,38
2019,UM,A1,WG-UMA1,early,2948,128,170,218,48
2019,UM,A2,WG-UMA2,control,2947,157,182,229,47
2019,UM,B1,WG-UMB1,early,2947,128,174,220,46
2019,UM,B2,WG-UMB2,control,2946,156,173,217,44
2019,UM,C1,WG-UMC1,early,2943,128,171,214,43
2019,UM,C2,WG-UMC2,control,2943,157,175,220,45
2020,UM,A1,WG-UMA1,control,2948,131,162,212,50
2020,UM,A2,WG-UMA2,control,2947,133,164,218,54
2020,UM,B1,WG-UMB1,control,2947,130,167,220,53
2020,UM,B2,WG-UMB2,control,2946,130,158,205,47
2020,UM,C1,WG-UMC1,control,2943,134,163,218,55
2020,UM,C2,WG-UMC2,control,2943,133,159,210,51
2018,USA,A1,WG-USA1,early,3466,147,162,191,29
2018,USA,B1,WG-USB1,early,3460,143,162,198,36
2018,USA,C2,WG-USC2,early,3461,141,159,,
