Species,Left (oxic) boundary (a),Top (oxic) boundary (a),Concentration (Molal) for (reduced) initial  conditions (b)
pH,7.01 (c),7.99 (c),6.98 (c)
Cl,6.08 x 10-3,6.08 x 10-3,2.57 x 10-3
HCO3 ,8.24 x 10-3 ,7.80 x 10-4 (d),9.53 x 10-3
Al ,3.48 x 10-6,3.48 x 10-6,9.74 x 10-10
Ca,5.59 x 10-3,5.59 x 10-3,4.48 x 10-3
Mg,6.16 x 10-3,6.16 x 10-3,4.06 x 10-3
O2 (aq) ,7.83 x 10-6 ,3.23 x 10-4 (e),1.00 x 10-10 (f)
Fe (II),7.49 x 10-5,7.49 x 10-5,7.85 x 10-5
Fe (III),6.15 x 10-13 (g),3.74 x 10-13 (g),6.28 x 10-13 (g)
K,3.48 x 10-4,3.48 x 10-4,2.00 x 10-4
Na,1.25 x 10-2,1.25 x 10-2,7.56 x 10-3
S(-2),1.07 x 10-10 (h),4.93 x 10-10 (h),1.07 x 10-10 (h)
SO4,1.18 x 10-2 (i),1.48 x 10-2 (i),6.94 x 10-3  (i)
SiO2 (aq),3.30 x 10-4,3.30 x 10-4,4.04 x 10-4
NO3,2.31 x 10-5,2.31 x 10-5,1.00 x 10-10 (f)
NO2,1.05 x 10-6,1.05 x 10-6,1.00 x 10-10 (f)
N2 (aq),1.00 x 10-10 (f),1.00 x 10-10 (f),1.00 x 10-10 (f)
Acetate ,1.00 x 10-10 (f),1.00 x 10-10 (f),9.94 x 10-4
NH3 (aq),6.67 x 10-6,6.67 x 10-6,2.22 x 10-4
PCO2 (12°C),0.028 bar,0.004 bar,0.035 bar
